Time	Node	Type	Packets	
1	0	CacheHits	2
1	0	CacheMisses	102
1	1	CacheHits	1
1	1	CacheMisses	101
1	2	CacheHits	2
1	2	CacheMisses	99
1	3	CacheHits	1
1	3	CacheMisses	98
1	4	CacheHits	1
1	4	CacheMisses	97
2	0	CacheHits	3
2	0	CacheMisses	97
2	1	CacheHits	2
2	1	CacheMisses	95
2	2	CacheHits	2
2	2	CacheMisses	93
2	3	CacheHits	0
2	3	CacheMisses	93
2	4	CacheHits	0
2	4	CacheMisses	93
3	0	CacheHits	9
3	0	CacheMisses	90
3	1	CacheHits	1
3	1	CacheMisses	89
3	2	CacheHits	0
3	2	CacheMisses	90
3	3	CacheHits	1
3	3	CacheMisses	90
3	4	CacheHits	0
3	4	CacheMisses	90
4	0	CacheHits	6
4	0	CacheMisses	94
4	1	CacheHits	2
4	1	CacheMisses	92
4	2	CacheHits	0
4	2	CacheMisses	92
4	3	CacheHits	1
4	3	CacheMisses	90
4	4	CacheHits	0
4	4	CacheMisses	90
5	0	CacheHits	12
5	0	CacheMisses	87
5	1	CacheHits	5
5	1	CacheMisses	82
5	2	CacheHits	1
5	2	CacheMisses	82
5	3	CacheHits	1
5	3	CacheMisses	81
5	4	CacheHits	1
5	4	CacheMisses	80
6	0	CacheHits	10
6	0	CacheMisses	90
6	1	CacheHits	1
6	1	CacheMisses	89
6	2	CacheHits	1
6	2	CacheMisses	88
6	3	CacheHits	1
6	3	CacheMisses	87
6	4	CacheHits	0
6	4	CacheMisses	87
7	0	CacheHits	8
7	0	CacheMisses	92
7	1	CacheHits	2
7	1	CacheMisses	91
7	2	CacheHits	1
7	2	CacheMisses	90
7	3	CacheHits	3
7	3	CacheMisses	87
7	4	CacheHits	1
7	4	CacheMisses	87
8	0	CacheHits	7
8	0	CacheMisses	93
8	1	CacheHits	2
8	1	CacheMisses	91
8	2	CacheHits	2
8	2	CacheMisses	89
8	3	CacheHits	1
8	3	CacheMisses	88
8	4	CacheHits	0
8	4	CacheMisses	87
9	0	CacheHits	8
9	0	CacheMisses	92
9	1	CacheHits	1
9	1	CacheMisses	90
9	2	CacheHits	0
9	2	CacheMisses	90
9	3	CacheHits	0
9	3	CacheMisses	90
9	4	CacheHits	1
9	4	CacheMisses	89
10	0	CacheHits	12
10	0	CacheMisses	88
10	1	CacheHits	1
10	1	CacheMisses	87
10	2	CacheHits	1
10	2	CacheMisses	86
10	3	CacheHits	2
10	3	CacheMisses	84
10	4	CacheHits	1
10	4	CacheMisses	83
11	0	CacheHits	0
11	0	CacheMisses	1
11	1	CacheHits	0
11	1	CacheMisses	1
11	2	CacheHits	0
11	2	CacheMisses	2
11	3	CacheHits	0
11	3	CacheMisses	3
11	4	CacheHits	0
11	4	CacheMisses	4
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
12	3	CacheHits	0
12	3	CacheMisses	0
12	4	CacheHits	0
12	4	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	0
13	3	CacheHits	0
13	3	CacheMisses	0
13	4	CacheHits	0
13	4	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	0
14	3	CacheHits	0
14	3	CacheMisses	0
14	4	CacheHits	0
14	4	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
